,name,palate_tokenized,nose_tokenized,finish_tokenized,price,region,distillery,bottler,age,ABV,chill_filter,cask_strength,maturation_bourbon,maturation_brandy,maturation_marsala,maturation_oak,maturation_port,maturation_red wine,maturation_rum,maturation_rye,maturation_sauternes,maturation_sherry,maturation_white wine,maturation_wine
376,Old Ballantruan 15 Year Old,"['campfire', 'ember', 'red_berry', 'milky_coffee', 'later']","['roast_chestnut', 'pencil_shaving', 'nectarine', 'sherry']","['old_leather', 'runny', 'honey']",74.41,Speyside Whisky,Tomintoul,Tomintoul,15.0,50.0,,,,,,,,,,,,,,
377,Blair Athol 12 Year Old 2008 (cask 2) - Cask Strength Collection (Signatory),"['poached_pear', 'plum', 'sherry', 'raisin', 'bitter', 'molasse', 'chocolate', 'nut']","['boozy', 'fruit', 'nutty', 'fruit', 'cake', 'jammy', 'rich', 'resinous', 'oak']","['intense', 'sappy', 'oak', 'honey', 'nutty', 'malt', 'sweet', 'pepper', 'prickle', 'finish']",108.88,Highland Whisky,Blair Athol,Signatory,12.0,54.3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
378,Allt-á-Bhainne 12 Year Old 2008 (cask 169) - Monologue (Chapter 7),"['butterscotch', 'ginger', 'sweet', 'fruit', 'cake', 'spice', 'roasted_chestnut', 'subtle']","['apple', 'pear', 'banana', 'floral', 'honey', 'zest', 'lemon', 'whiff', 'sea_breeze']","['cinnamon', 'sweet', 'spice', 'orange', 'charred', 'oak', 'caramel']",75.62,Speyside Whisky,Allt-á-Bhainne,Chapter 7,12.0,49.7,,,,,,,,,,,,,,
379,Octomore 10.4 3 Year Old,"['toast', 'barrel_char', 'cigar_box', 'aroma', 'clove', 'cinnamon', 'red_berry', 'baked_earth']","['roasted', 'bell', 'pepper', 'hay', 'flash', 'pear', 'peach', 'stem_ginger', 'bonfire', 'smoke']","['slightly', 'nutty', 'continued', 'peat', 'smoke']",196.01,Islay Whisky,Bruichladdich,Bruichladdich,3.0,63.5,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380,Glen Moray Classic Port Cask Finish,"['butterscotch', 'candy', 'golden', 'barley', 'cinnamon', 'port', 'cask_influence', 'light', 'raisin', 'freshly', 'red_berry']","['cream', 'vanilla', 'fore', 'jammy', 'redcurrant', 'blackberry', 'toasted', 'oak', 'background']","['long', 'honey', 'vanilla', 'dusting_cocoa']",30.9,Speyside Whisky,Glen Moray,Glen Moray,,40.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
381,Auchentoshan 24 Year Old (That Boutique-y Whisky Company),"['cake', 'y', 'rich', 'vanilla', 'softly', 'black_pepper', 'cardamom']","['grass', 'cream', 'barley', 'heaped', 'hand', 'citrus', 'peel']","['red', 'fruit', 'orange_peel', 'coffee_bean', 'bitter']",149.0,Lowland Whisky,Auchentoshan,That Boutique-y Whisky Company,24.0,50.6,,,,,,,,,,,,,,
382,Glenmorangie 10 Year Old - The Original 1.5l,"['fresh', 'balanced', 'vanilla', 'sweet', 'creamy_tiramisu', 'toffee']","['fruit', 'thick', 'rich', 'lemon', 'nectarine', 'apple', 'spice']","['long', 'gentle', 'malt', 'fruit']",85.94,Highland Whisky,Glenmorangie,Glenmorangie,10.0,40.0,,,,,,,,,,,,,,
383,Jura 29 Year Old 1992 (cask 2495) - Cask Strength Collection (Signatory),"['toasted', 'oak', 'bold', 'malt', 'fore', 'waft', 'wood', 'vanilla', 'honeyed', 'granola']","['roasted_nut', 'cinder_toffee', 'gentle', 'whiff', 'fruit', 'earth', 'tobacco']","['apple', 'nutty', 'cereal', 'pear', 'chocolate', 'sauce']",286.64,Island Whisky,Jura,Signatory,29.0,52.2,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,Talisker 10 Year Old Campfire Hot Chocolate Kit,"['bonfire', 'peat', 'crackling', 'black_pepper', 'brine', 'dry', 'barley', 'welcome', 'orchard_fruit', 'delicate', 'beauty', 'balance']","['fresh', 'fragrant', 'thick', 'pungent', 'smoke', 'sweet', 'pear', 'apple', 'peel', 'pinche', 'maritime', 'salt', 'kipper', 'seaweed']","['long', 'finish', 'bonfire_ember', 'toast', 'malt', 'sugar', 'underlay']",24.02,Island Whisky,Talisker,Talisker,,45.8,,,,,,,,,,,,,,
385,Auchroisk 12 Year Old 2008 (casks 816420 & 816423) - Signatory,"['hot_cross', 'bun', 'load', 'butter', 'candy', 'peel', 'ginger', 'root']","['golden_syrup', 'peanut_shell', 'rounded', 'barley', 'rich']","['thyme', 'honey', 'subtle', 'flint']",41.22,Speyside Whisky,Auchroisk,Signatory,12.0,43.0,,,,,,,,,,,,,,
386,SPEY 8 Year Old 2013 (cask 18) - Spirit of Speyside 2021,"['jasmine', 'tea', 'honeydew_melon', 'cream', 'vanilla', 'green_apple']","['toasted_marshmallow', 'pineapple', 'oil', 'malt', 'apricot_jam', 'toast']","['orchard_fruit', 'floral', 'barley', 'fresh']",103.14,Speyside Whisky,Speyside,Speyside,8.0,60.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387,Glen Grant 27 Year Old 1989 (cask 23046) - Mackillop's Choice,"['rich', 'barley', 'malt', 'nutty', 'chocolate', 'biscuit_dough', 'cider', 'apple', 'gentle', 'oak', 'cinnamon', 'nutmeg']","['furniture_polish', 'fruitcake', 'rich', 'peanut_brittle', 'raspberry', 'conserve', 'barley', 'malt']","['freshly_grass', 'fizz', 'oak', 'spice', 'vanilla', 'cream', 'fruitcake', 'orange_peel']",322.99,Speyside Whisky,Glen Grant,Mackillop's,27.0,51.7,,True,,,,,,,,,,,,
388,Glenrothes 21 Year Old 1998 (cask 13522) - Xtra Old Particular (Douglas Laing),"['vanilla', 'hard', 'candy', 'orange_zest', 'cream', 'fudge']","['gentle', 'fresh', 'vanilla', 'nut', 'grist']","['long', 'finish', 'citrus', 'fruit', 'cinnamon', 'spiced', 'oak']",263.67,Speyside Whisky,Glenrothes,Douglas Laing,21.0,60.7,,True,,,,,,,,,,,,
389,Royal Brackla 12 Year Old (That Boutique-y Whisky Company),"['sharp', 'clean', 'lime', 'rind', 'green', 'ester', 'toffee', 'gently', 'syrup', 'fruit']","['pain_au', 'chocolat', 'lemon', 'sponge', 'ripe', 'apple', 'roasted_chestnut', 'grass', 'coconut', 'banana_bread']","['long', 'gentle']",66.44,Speyside Whisky,Brackla,That Boutique-y Whisky Company,12.0,47.9,,,,,,,,,,,,,,
390,Old Pulteney 10 Year Old (1L),"['green_apple', 'sharp', 'honey', 'lemon_meringue', 'pie', 'tobacco', 'overripe', 'pear', 'sea_breeze']","['pear', 'tart', 'drizzle', 'honey', 'tropical', 'aroma', 'banana', 'vanilla', 'cream', 'lemon_curd', 'oak', 'spice']","['salted_caramel', 'oak']",51.54,Highland Whisky,Pulteney,Pulteney,10.0,40.0,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
391,Tormore  26 Year Old 1992 (cask 16487) - The First Editions (Hunter Laing),"['cantaloupe', 'melon', 'orange', 'starburst', 'sweetie', 'generous_helping', 'cream', 'vanilla']","['fairly', 'bright', 'tropical', 'pineapple', 'apple']","['pepper', 'oak', 'honeyed', 'malt']",171.93,Speyside Whisky,Tormore,Hunter Laing,26.0,45.7,,,,,,,,,,,,,,
392,Tormore 28 Year Old - Chorlton Whisky,"['slow_build', 'earth', 'wood', 'subtly', 'spice', 'power', 'fruit', 'element']","['load', 'fresh', 'fruit', 'pear', 'damson', 'pineapple']","['orange_oil', 'grass', 'barley']",210.03,Speyside Whisky,Tormore,Chorlton Whisky,28.0,42.4,,,,,,,,,,,,,,
393,Ledaig 12 Year Old - Discovery (Gordon & MacPhail),"['pepper', 'smoke', 'sugar', 'cloud', 'lemonade']","['grass', 'peat', 'seaweed', 'green_apple', 'sweetie', 'background']","['cedar', 'smoke']",58.64,Island Whisky,Tobermory,Gordon & MacPhail,12.0,43.0,,,,,,,,,,,,,,
394,Linkwood 11 Year Old (cask 804348) - The Sipping Shed,"['apricot', 'pear', 'butterscotch', 'liquorice', 'allsort', 'oak', 'spice', 'sprinkle_brown', 'sugar']","['apricot_jam', 'citrus', 'sweetie', 'jelly', 'babies', 'dark', 'berry', 'coulis', 'fresh', 'mint_leave']","['fruit', 'fresh', 'oak']",79.06,Speyside Whisky,Linkwood,The Sipping Shed,11.0,59.0,,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,Glencadam 11 Year Old 2008 (cask 881) - First-Fill Bourbon Cask Matured,"['delicate', 'cream', 'floral', 'smack', 'pear']","['rose_petal', 'turkish_delight', 'citrus', 'pear_drop']","['length', 'mix', 'fruit', 'sweet', 'oak', 'spice']",96.26,Highland Whisky,Glencadam,Glencadam,11.0,62.5,,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,Bunnahabhain 10 Year Old - Discovery (Gordon & MacPhail),"['key', 'lime', 'pie', 'toffee', 'apple', 'oak', 'char', 'anise', 'bonfire_ember']","['ground_almond', 'pear', 'caramel', 'aromatic', 'vanilla']","['lemon', 'peel', 'nutmeg', 'ginger', 'smoke']",58.64,Islay Whisky,Bunnahabhain,Gordon & MacPhail,10.0,43.0,,,,,,,,,,,,,,
397,Single Malt Irish Whiskey 8 Year Old (That Boutique-y Whisky Company),"['honey', 'apricot', 'black_pepper', 'core']","['apricot', 'cream', 'honey', 'barley']","['buttered_toast', 'seville_orange', 'marmalade']",60.72,Scotch Whisky,That Boutique-y Whisky Company,That Boutique-y Whisky Company,8.0,45.7,,,,,,,,,,,,,,
398,Craigellachie 12 Year Old 2008 (cask 900365/366/367) - Benchmark (Murray McDavid),"['apple', 'poached_pear', 'prune', 'plum', 'crunchy', 'toffee', 'toasted', 'nut']","['floral', 'orchard', 'blossom', 'ripe', 'fruit', 'toasted', 'nut', 'rich', 'roasted', 'malt']","['dark', 'berry', 'chocolate', 'winter_spice', 'oak']",80.2,Speyside Whisky,Craigellachie,Murray McDavid,,50.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
399,Speyside 26 Year Old (That Boutique-y Whisky Company),"['heavy', 'layer', 'honey', 'strawberry_jam', 'nutella', 'oil', 'barley']","['apple', 'strudel', 'brown_sugar', 'cinnamon', 'dessert', 'lemon_meringue', 'pie', 'chocolate', 'tart']","['clove', 'ginger', 'finish']",120.34,Speyside Whisky,Speyside,That Boutique-y Whisky Company,26.0,48.0,,,,,,,,,,,,,,
400,Royal Brackla 18 Year Old Palo Cortado Sherry Cask Finish,"['soft', 'peach', 'plum', 'juicy', 'raisin', 'sultana', 'sweet', 'cake', 'spice', 'bitter', 'chocolate']","['spiced', 'biscuit', 'vanilla', 'cream', 'whiff', 'orange_zest']","['apricot', 'sweet', 'fruit', 'zest', 'cream', 'barley']",146.71,Speyside Whisky,Brackla,Brackla,18.0,46.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
401,"Deanston 11 Year Old 2009 (cask 5211) - The Cooper's Choice (The Vintage Malt Whisky Co,)","['salted', 'peanut_brittle', 'jammy', 'raisin', 'sultana', 'juicy', 'grape', 'dry', 'sharp', 'oak']","['toasted', 'nut', 'coffee', 'cake', 'plum', 'barley']","['spice', 'finish', 'pepper', 'cinnamon', 'black', 'forest', 'gateaux', 'fresh', 'citrus', 'zest']",91.68,Highland Whisky,Deanston,The Vintage Malt Whisky Co.,11.0,51.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,Glen Spey 24 Year Old 1994 (cask 2139) - Celebration Of The Cask (Càrn Mòr),"['gentle', 'apricot_jam', 'lot', 'dark', 'red_berry', 'white', 'chocolate', 'fruit', 'support']","['dusty_oak', 'menthol', 'orange', 'marmalade', 'fresh', 'toast', 'lot', 'fruit']","['crystallised_ginger', 'fruit', 'sherry', 'orange_peel', 'dark_chocolate']",185.69,Speyside Whisky,Glen Spey,Carn Mor,24.0,59.7,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
403,1770 Peated Gift Pack with 2x Glasses,"['toast', 'oak', 'sugar', 'fruit', 'rich', 'building']","['zest', 'orange', 'quince', 'waft', 'floral', 'smoke']","['slightly', 'nutty', 'finish', 'earth', 'peat']",63.0,Lowland Whisky,The Glasgow Distillery Co.,The Glasgow Distillery Co.,,46.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
404,Bowmore 1992 (bottled 2017) - Mackillop's Choice,"['nutmeg', 'toasted', 'cinnamon', 'spice', 'kipper', 'seaside', 'fudge', 'barley', 'fresh', 'vanilla_pod', 'salted_caramel', 'delicate', 'oak']","['aromatic', 'vanilla', 'heather', 'horse', 'chestnut', 'lemon', 'orange_peel', 'coastal', 'peat_smoke']","['finish', 'long', 'wood', 'spice', 'bonfire_ember']",390.83,Islay Whisky,Bowmore,Mackillop's,,50.7,False,True,,,,,,,,,,,,
405,Glenfiddich 50 Year Old,"['initially', 'sweet', 'zest', 'orange', 'marmalade', 'vanilla', 'toffee', 'series', 'layer', 'aromatic', 'herb', 'floral', 'soft', 'fruit', 'silk', 'oak', 'tannin', 'gentle', 'smoke']","['beauty', 'harmonious', 'uplifting', 'vibrant', 'complex', 'aroma', 'delicate', 'floral', 'petal', 'violet', 'intriguingly', 'green', 'tobacco_leaf', 'oak', 'faint', 'smoke']","['exceptionally', 'long', 'dr', 'oak', 'mere', 'trace', 'peat']",27343.21,Speyside Whisky,Glenfiddich,Glenfiddich,50.0,46.1,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,Macduff 11 Year Old 2007 - Poise and Perseverance,"['vanilla', 'rich', 'sponge_cake', 'complete', 'ginger', 'compote', 'cream', 'rich']","['perfumed', 'floral', 'elegant', 'fresh', 'rose', 'lemon_zest']","['segue', 'butter', 'pastry', 'rich', 'apple', 'pie', 'thick', 'custard']",74.48,Highland Whisky,Macduff,Poise and Perseverance,11.0,48.3,,,,,,,,,,,,,,
407,Tomintoul 2001 (bottled 2020) (cask 37) - Bourbon Barrel Matured,"['cream', 'barley', 'malt', 'balance', 'pepper', 'spice']","['honeycomb', 'toffee', 'butter', 'sweet', 'nutmeg', 'spice']","['length', 'dr', 'pronounced', 'nutty', 'influence', 'oak']",181.11,Speyside Whisky,Tomintoul,Tomintoul,,58.4,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408,Glenburgie 14 Year Old 2004 - Connoisseurs Choice (Gordon & MacPhail),"['fruitcake', 'pecan', 'guava', 'nutmeg']","['white', 'chocolate', 'pie', 'fragrant', 'vanilla', 'roasted_coffee', 'bean']","['cedar', 'spice', 'sherbet', 'lemon']",79.57,Speyside Whisky,Glenburgie,Gordon & MacPhail,14.0,46.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409,Tullibardine 228 Burgundy Cask Finish,"['cream', 'nutty', 'entry', 'sweet', 'custard', 'apple', 'peel', 'red_berry', 'orange_blossom', 'honey']","['spiced', 'red_berry', 'fruit', 'vanilla', 'toasted', 'oak']","['long', 'finish', 'plum_jam', 'allspice']",45.8,Highland Whisky,Tullibardine,Tullibardine,,43.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
410,The Glenturret Breabach 15 Year Old,"['sweet', 'butter', 'caramel', 'oak', 'plum', 'brown_sugar']","['lemon_curd', 'toast', 'oak', 'freshly', 'black_tea', 'sharp', 'berry', 'honeycomb']","['cedar', 'fresh', 'blueberry']",137.54,Highland Whisky,Glenturret,Glenturret,15.0,40.0,,,,,,,,,,,,,,
411,SPEY 12 Year Old Peated,"['spice', 'green_apple', 'skin', 'slightly', 'nut', 'earth', 'vanilla_pod']","['gentle', 'smoke', 'cream', 'vanilla', 'fresh', 'grape', 'wood', 'spice']","['ripe', 'banana', 'sweet', 'fruit', 'dr', 'finish']",73.32,Speyside Whisky,Speyside,Speyside,12.0,46.0,,,,,,,,,,,,,,
412,Glenglassaugh Torfa,"['overtly', 'coastal', 'element', 'fruit', 'melon', 'apple', 'citrus', 'sweet', 'dram', 'barley']","['smoke', 'citrus', 'equal', 'measure', 'sweet', 'spice']",['smoke'],50.61,Highland Whisky,Glenglassaugh,Glenglassaugh,,50.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
413,Glen Moray 12 Year Old (That Boutique-y Whisky Company),"['winter_spice', 'smoke', 'oil', 'malt', 'banana', 'pancake', 'chestnut', 'truffle', 'cake', 'tropical_fruit', 'syrup', 'time']","['fresh', 'malt', 'grist', 'grass', 'aroma', 'sticky_toffee', 'pudding', 'date', 'marmalade']","['sweet', 'cereal', 'firm', 'oak', 'char']",63.0,Speyside Whisky,Glen Moray,That Boutique-y Whisky Company,12.0,48.5,,,,,,,,,,,,,,
414,Craigellachie 10 Year Old - Batch 6 (That Boutique-y Whisky Company),"['brown_sugar', 'apple', 'pie', 'earth', 'coffee_bean', 'runny_honey', 'orange', 'sweetie', 'clove', 'cinnamon', 'later']","['barbecued', 'pineapple', 'fresh', 'barley', 'nutty', 'brown_bread', 'salted_butter', 'lead', 'thick', 'date', 'toasted', 'almond', 'bit', 'flint', 'y']","['cedar', 'linger']",71.04,Speyside Whisky,Craigellachie,That Boutique-y Whisky Company,10.0,51.0,,,,,,,,,,,,,,
415,Glen Moray 18 Year Old - Elgin Heritage,"['earth', 'vanilla', 'shortly', 'lavender', 'sultana']","['juicy', 'apricot', 'yellow_plum', 'glaze', 'honey']","['ginger', 'cinnamon']",72.13,Speyside Whisky,Glen Moray,Glen Moray,18.0,47.2,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416,Tullibardine 4 Year Old 2016 (cask 659812/14/46) - Benchmark (Murray McDavid),"['bold', 'barley', 'nut', 'spice', 'sultana', 'date']","['honey', 'granola', 'grist', 'crumbly', 'vanilla', 'fudge']","['fruit', 'honeyed', 'flapjack', 'orange_zest', 'baking_spice']",43.52,Highland Whisky,Tullibardine,Murray McDavid,4.0,46.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
417,Tomatin 8 Year Old Bourbon & Sherry Casks,"['cinnamon', 'coriander', 'seed', 'liquorice', 'lot', 'fruit', 'custard', 'black', 'cherry', 'seville_orange', 'depth', 'toasted', 'almond']","['green_apple', 'bruised_pear', 'milk_chocolate', 'prickle', 'baking_spice', 'rise']",[],43.52,Highland Whisky,Tomatin,Tomatin,8.0,40.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
418,Irish Single Malt #2 12 Year Old (That Boutique-y Whisky Company),"['bounty', 'orchard_fruit', 'big', 'focus', 'gold', 'delicious', 'apple', 'juicy', 'orange']","['spearmint', 'basil', 'walnut', 'caramel']","['vanilla', 'lemongrass', 'peppercorn']",67.6,Scotch Whisky,That Boutique-y Whisky Company,That Boutique-y Whisky Company,12.0,48.6,,,,,,,,,,,,,,
419,Beinn Dubh Thunder in the Glens 20th Anniversary,"['like', 'cold', 'coffee', 'dark', 'brown_sugar', 'vanilla', 'fruit']","['caramel', 'toast', 'soy', 'walnut', 'raisin']","['toffee', 'chocolate', 'malt']",69.13,Speyside Whisky,Speyside,Speyside,,43.0,,,,,,,,,,,,,,
420,Bunnahabhain - Skene Whisky,"['enjoyably', 'vegetal', 'rounded', 'barley', 'vanilla']","['toasted', 'sugar', 'eucalyptus', 'baked_earth']","['sweet', 'peat', 'finish']",89.38,Islay Whisky,Bunnahabhain,Bunnahabhain,,48.0,,,,,,,,,,,,,,
421,Ledaig 13 Year Old 2007 (cask 800022) - Smoke & Glory (Heroes & Heretics),"['toasted', 'oak', 'brown_sugar', 'wax', 'lemon']","['seaside', 'smoke', 'teriyaki', 'sauce', 'meat']","['smouldering', 'finish']",113.61,Island Whisky,Tobermory,Heroes & Heretics,13.0,53.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,Teaninich 8 Year Old (Release 4) - Concept 8,"['big', 'hit', 'malt', 'earthen', 'oak', 'orchard_fruit', 'walnut', 'bread']","['sugared', 'lemon_drizzle', 'cake', 'milky_coffee', 'almond', 'syrup']","['chocolate', 'nut', 'buttery_pastry', 'spice', 'lemon', 'zest']",37.78,Highland Whisky,Teaninich,Concept 8,8.0,40.8,,,,,,,,,,,,,,
423,Ardmore 9 Year Old 2009 (cask 1312) - The Single Cask,"['enjoyably', 'nutty', 'earth', 'vanilla', 'centre_stage', 'wisp', 'smoke']","['honey', 'roast', 'peanut', 'brown_sugar', 'cherry']","['toffee', 'leaf', 'mint', 'orange']",110.02,Highland Whisky,Ardmore,The Single Cask,9.0,58.5,,,,,,,,,,,,,,
424,Dalmore 27 Year Old 1990 (cask 89) - Rare Select (Montgomerie's),"['almond', 'walnut', 'chocolate', 'new_leather', 'mature_oak']","['polished_oak', 'chilli', 'chocolate', 'roasted_coffee', 'bean', 'vanilla_pod', 'sweet']","['slightly', 'floral', 'finish']",324.34,Highland Whisky,Dalmore,Montgomerie's,27.0,46.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425,Caol Ila 10 Year Old 2010 - Clanyard (Fable Whisky),"['strong', 'coastal', 'bold', 'peat', 'lemon', 'peel', 'charcoal']","['charred_oak', 'harbourside', 'breeze', 'meaty_malt', 'sugar']","['wax', 'oil', 'pepper', 'toasted', 'oak', 'salt', 'smoke']",108.88,Islay Whisky,Caol Ila,Fable Whisky,10.0,57.5,,,,,,,,,,,,,,
426,Loch Lomond 20 Year Old - The Open Course Collection - Royal St George's,"['toffee', 'apple', 'sweet', 'bright', 'lychee', 'ginger', 'toast', 'oak']","['cinnamon', 'lemon', 'blossom', 'coconut', 'apple']","['nutmeg', 'spice', 'burst', 'citrus']",183.45,Highland Whisky,Loch Lomond,Loch Lomond,20.0,50.2,,,,,,,,,,,,,,
427,Strathisla 13 Year Old Moscatel Cask Finish (Darkness),"['rich', 'brown_sugar', 'coffee', 'fresh', 'peach', 'plum', 'fruit', 'light']","['oodle', 'fruit', 'apple', 'quince', 'raisin', 'cherry', 'subtle', 'whiff', 'heather', 'oak']","['black_pepper', 'clove', 'cinnamon']",223.53,Speyside Whisky,Strathisla,Darkness,13.0,55.8,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
428,Glenmorangie X,"['lot', 'vanilla', 'apricot', 'apple', 'flaked', 'almond', 'later']","['honeyed', 'malt', 'lemon', 'apple', 'plus', 'nutmeg', 'oak', 'warmth']","['honeyed', 'orchard_fruit', 'theme', 'finish', 'pinch', 'peppercorn']",34.34,Highland Whisky,Glenmorangie,Glenmorangie,,40.0,,,,,,,,,,,,,,
429,Ardbeg An Oa,"['plenty', 'peat', 'oomph', 'light', 'body', 'cigar', 'golden_syrup', 'flapjack', 'sweet', 'black_tea', 'tail', 'chocolate', 'lime']","['sweet', 'cream', 'ardbeg', 'butterscotch', 'fennel_seed', 'tobacco_leaf', 'honey', 'nut', 'cluster', 'mixed', 'sweet', 'fruit', 'everton', 'mint', 'menthol', 'citrus', 'subtle', 'rich', 'flourless', 'orange', 'cake']","['treacle', 'peanut_brittle']",44.85,Islay Whisky,Ardbeg,Ardbeg,,46.6,,,,,,,,,,,,,,
430,Port Askaig 8 Year Old Gift Pack with 2x Glasses,"['soft', 'salted_caramel', 'sweet', 'wave', 'coastal', 'peat_smoke', 'underneath']","['charcoal', 'crisp', 'good', 'squeeze', 'lemon']","['medium_length', 'hot', 'kick', 'peppercorn']",57.28,Islay Whisky,Port Askaig,Port Askaig,8.0,45.8,,,,,,,,,,,,,,
431,Edradour 21 Year Old 1999 (cask 808 & 810) - Bordeaux Cask Finish,"['orange_oil', 'butter', 'oak', 'wave', 'redcurrant', 'sweet', 'later']","['toasted_teacake', 'blackcurrant_jam', 'plus', 'persimmon', 'background']","['crunchy_brown', 'sugar', 'black', 'peppercorn', 'cinnamon']",252.25,Highland Whisky,Edradour,Edradour,21.0,55.7,,,,,,,,,,,,,,
432,Macduff 1997 (bottled 2018) (cask 5869) - Samaroli,"['oil', 'mouthfeel', 'salt', 'sherry', 'sweet', 'juicy', 'berry', 'appearance', 'fruit', 'quince', 'smoke', 'sharp', 'sweet', 'battle', 'sweet']","['complex', 'sulphurous', 'maritime', 'floral', 'aroma']","['juicy', 'red', 'fruit', 'cooking_spice']",277.42,Highland Whisky,Macduff,Samaroli,,43.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
433,Tullibardine 500 Sherry Cask Finish,"['fruit', 'cinnamon', 'manuka_honey', 'date', 'allspice']","['spiced', 'aromatic', 'dark', 'brown_sugar', 'toffee', 'apple']","['long', 'cream', 'finish', 'butterscotch', 'ground', 'almond']",45.69,Highland Whisky,Tullibardine,Tullibardine,,43.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
434,Peat's Beast Batch Strength - Pedro Ximénez Finish,"['medicinal', 'maritime', 'peat', 'date', 'vanilla', 'sweet', 'butterscotch', 'black_pepper']","['earthy_peat', 'smoke', 'dark', 'jammy', 'fruit', 'spice', 'oil', 'malt']","['cooked', 'plum', 'toast', 'oak']",68.74,Scotch Whisky,Peat's Beast,Peat's Beast,,54.1,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
435,Glen Moray 12 Year Old - Elgin Heritage,"['chew', 'barley', 'drizzle', 'syrup', 'honey', 'roasted_nut']","['vanilla', 'y', 'sweet', 'subtly', 'herbaceous', 'oak', 'developing']","['white', 'chocolate', 'stack', 'apricot']",41.51,Speyside Whisky,Glen Moray,Glen Moray,12.0,40.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
436,Lochindaal 10 Year Old 2010 (cask 4348) - Berry Bros. & Rudd,"['charred_oak', 'camphor', 'liquorice', 'apricot', 'lemon', 'brioche', 'toffee', 'crisp_bar']","['seaweed', 'match', 'vanilla', 'orange_peel']","['cedar', 'ash', 'citrus']",232.94,Islay Whisky,Bruichladdich,Berry Brothers and Rudd,10.0,60.2,,True,,,,,,,,,,,,
437,Glen Garioch 10 Year Old - Premier Barrel (Douglas Laing),"['butter', 'pastry', 'almond_croissant', 'nutmeg', 'subtly', 'vegetal']","['pastel', 'de', 'nata', 'banana', 'vanilla']","['melon', 'sultana', 'mineral', 'herbal', 'spice']",69.88,Highland Whisky,Glen Garioch,Douglas Laing,10.0,46.0,,,,,,,,,,,,,,
438,Glendullan 10 Year Old 2010 (cask 131) - The Single Cask,"['raisin', 'chocolate', 'shortly', 'layer', 'juicy', 'white_grape', 'good_kick', 'cinnamon']","['honeycomb', 'fruit', 'ginger', 'subtly', 'bread']","['cedar', 'zest', 'citrus']",100.84,Speyside Whisky,Glendullan,The Single Cask,10.0,60.0,,,,,,,,,,,,,,
